ruta_interna,nombre_archivo,tipo_evidencia,fecha_sesion,fecha_procesamiento,codigo_participante,duracion,codec_formato,tamano_kb_reportado,sha256,estado_revision,observaciones
Entrevistas/ENTR-07/ENTR-07_Audio.mp3,ENTR-07_Audio.mp3,audio,2026-07-28,2026-08-02 00:15,ENTR-07,00:38:01,MP3,89132,2b755ab6f8e0f45068fe0058864e808580d735a453acf6a3bd088117f6029434,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-07/ENTR-07_Consentimiento_Original.pdf,ENTR-07_Consentimiento_Original.pdf,consentimiento,2026-07-28,2026-08-02 13:12,ENTR-07,NO_APLICA,PDF,5830,4895ba3418984aedd77517a7bfa2ca908e344837ff6b93c94edb31a3af1c9f50,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-07/ENTR-07_Video.mp4,ENTR-07_Video.mp4,video,2026-07-28,2026-08-02 01:26,ENTR-07,00:37:55,MP4; códec interno pendiente,86843,bb10811dc4b4791ebd73a56afdcf9fadf5ea979408d78ac14480d4c445ed3cb3,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-08/ENTR-08_Audio.mp3,ENTR-08_Audio.mp3,audio,2026-07-28,2026-08-02 00:28,ENTR-08,00:18:07,MP3,16576,48c02f4ac5e8db0b39f370374576addc81162e0043ff4acc7ebab86e0a7f6d90,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-08/ENTR-08_Consentimiento_Original.pdf,ENTR-08_Consentimiento_Original.pdf,consentimiento,2026-07-28,2026-08-02 17:01,ENTR-08,NO_APLICA,PDF,807,4ca60ffba6fecac8853637467bc9c24e49838d8e331a3cbebf68fcf5fa3dde59,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-08/ENTR-08_Video.mp4,ENTR-08_Video.mp4,video,2026-07-28,2026-08-02 01:42,ENTR-08,00:17:40,MP4; códec interno pendiente,34289,e87c84f49c4b9d06b3f4a169ea3dc2cf41327117915266e965546f40e0f3b099,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-09/ENTR-09_Audio.mp3,ENTR-09_Audio.mp3,audio,2026-07-28,2026-08-02 00:28,ENTR-09,00:21:38,MP3,19788,4bb5d0db6a2cb561ccfcf3f0bcf3b6f77d852cbac2ba889f75bacbb35b3e3d7c,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-09/ENTR-09_Consentimiento_Original.pdf,ENTR-09_Consentimiento_Original.pdf,consentimiento,2026-07-28,2026-08-02 17:02,ENTR-09,NO_APLICA,PDF,921,e51c95ffe25fe7611e6ee32a6086f9da9e8987968d9f901ff48a7b3c317b2021,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-09/ENTR-09_Video.mp4,ENTR-09_Video.mp4,video,2026-07-28,2026-08-02 01:49,ENTR-09,00:21:06,MP4; códec interno pendiente,51584,85b7271fc55f047d7f249201d9ea4a42561a6cba128397a44742052f3a413a78,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-10/ENTR-10_Audio.mp3,ENTR-10_Audio.mp3,audio,2026-07-25,2026-08-02 00:37,ENTR-10,00:18:34,MP3,16980,8e8e1fa3698f890dc4ab0b227232c0dee0d1749234679bc31c95a508cabb79e8,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-10/ENTR-10_Consentimiento_Original.pdf,ENTR-10_Consentimiento_Original.pdf,consentimiento,2026-07-25,2026-08-02 13:17,ENTR-10,NO_APLICA,PDF,5298,afc1a851b9ce12bd0e96416bf007b4b430729b15d0e29160e42f384c0a2aad21,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-10/ENTR-10_Video.mp4,ENTR-10_Video.mp4,video,2026-07-25,2026-08-02 00:23,ENTR-10,00:18:06,MP4; códec interno pendiente,459493,1e26572554a8ac63df815f1b7c687f6d117fc23cf8b768bae975a2d8bf83b62a,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
