id_respuesta,consentimiento,frecuencia_asistencia,antiguedad_gimnasio,consulta_membresia,dificultad_vencimiento,espera_confirmacion_pago,medio_preferido_avisos,facilidad_inscripcion_actualizacion,claridad_planes_precios,satisfaccion_atencion,registro_ingreso,consulta_cambio_rutina,informacion_futuro_sistema,dificultades_compra_productos,prioridad_mejora,importancia_privacidad,comentario_experiencia,cambio_facilitador,funcion_adicional
ENC-CLI-020,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,Precio poco claro o diferente,Rutinas,Moderadamente importante,,Una buena organización o un sistema para eso,
ENC-CLI-021,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Nunca,Nunca,WhatsApp,Muy difícil,Clara,Satisfecho(a),Aviso verbal,Una vez por semana,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Muy importante,Muy bien,Los pagos,
ENC-CLI-022,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Casi nunca,WhatsApp,Fácil,Clara,Satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,No he tenido dificultades,Membresías,Muy importante,,Descuentos,
ENC-CLI-023,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 7 a 12 meses,Mensaje por WhatsApp u otro medio,Casi nunca,Casi nunca,Aviso presencial,Muy fácil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Nunca,Avisos y novedades,Otra dificultad,Comunicación y avisos,Importante,NInguna,Chat para realizar preguntas que surgen en el momento de entrenar,
ENC-CLI-024,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Poco clara,Satisfecho(a),Aviso verbal,Una vez por semana,Rutina asignada,Precio poco claro o diferente,Inventario y ventas,Muy importante,Muy bueno para todo tipo de persona,Llevar una carpeta de todo lo que se hace,Páginas más claras y accesibles
ENC-CLI-025,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Casi nunca,Correo electrónico,Ni fácil ni difícil,Clara,Satisfecho(a),Sistema digital,Una vez al mes,Registro de asistencia,No he tenido dificultades,Membresías,Importante,,Facilitará los pagos en linea y el registro de asistencia con código QR,Sistema incluyera rutinas personalizadas y seguimiento del progreso
ENC-CLI-026,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Tarjeta o credencial,Nunca,Casi nunca,WhatsApp,Muy difícil,Poco clara,Muy insatisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Membresías,Nada importante,Que es bueno para la salud,Ninguno,Buenas ideas para mejorar
ENC-CLI-027,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,Casi nunca,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Aviso verbal,Nunca,Pagos realizados,Falta de disponibilidad,Atención al cliente,Importante,pues de manera general a sido ni buena ni mala sino regular,sobre todo que me notifiquen,notificaciones de estados de como voy y de mi membresia
ENC-CLI-028,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 7 a 12 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Fácil,Ni clara ni poco clara,Satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Rutinas,Importante,es una buena experiencia mas que todo par hacer actividad física,yo diría que los registro ya que algunas veces se anota en cuadernos o hojas de excel,un sistema que me ayude a notificar como va mi entrenamiento
ENC-CLI-029,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,A veces,Aviso presencial,Difícil,Poco clara,Insatisfecho(a),Aviso verbal,Una vez al mes,Pagos realizados,No he tenido dificultades,Atención al cliente,Importante,fue mala una por la atención y otra por su organización,en la administración y recepción tengan un sistema o por whastapp las notificaciones de los pagos,notificaciones por whastapp
ENC-CLI-030,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,Casi nunca,Correo electrónico,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Una vez por semana,Estado de la membresía,No he tenido dificultades,Pagos,Muy importante,,"Que los pagos se pudieran hacer directamente desde el celular o con una app, así todo sería más rápido y no tendría que estar pendiente de las fechas.",
ENC-CLI-031,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,Casi siempre,Aviso presencial,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Compras de productos,Demora o error en el registro o pago,Pagos,Moderadamente importante,Pues fue normal,Tener un mejor manejo en la gestión de pagos,Una administración dedicada solo para pagos de membresía
ENC-CLI-032,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,Aviso presencial,Fácil,Ni clara ni poco clara,Satisfecho(a),Sistema digital,Nunca,Estado de la membresía,No he tenido dificultades,Comunicación y avisos,Importante,"Mi experiencia ha sido positiva, ya que el ambiente es agradable y me ha permitido mantener la constancia.",La implementación de pagos en línea y un registro de asistencia más rápido.,Recordatorios de pago y seguimiento del progreso.
