ID,Ley/Fuente,Artículo,Objetivo,Stakeholder,ID-EV,Tipo,ID-CU,ID-HU,ID-CA,Componente,Mockup,Prioridad,Descripción
RF-PAG-01,Operacion,Art. N/A,Registrar pago y comprobante,Recepcion,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-02;EV-ENTR08-03,RF,CU-10,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must / Basico,"El sistema registrara monto, concepto, medio, referencia y fecha de un pago, y generara un comprobante interno."
RF-PAG-02,Operacion,Art. N/A,Resolver pagos pendientes,Administrador,EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-07,RF,,,CA-N/A,Pagos,MU-15;MU-40,Should / Desempeno,"El sistema permitira confirmar, rechazar o corregir un pago pendiente conservando motivo y auditoria."
RF-ASI-01,Operacion,Art. N/A,Registrar asistencia,Recepcion,EV-ENTR02-03;EV-ENTR03-03;EV-ENTR04-02;EV-ENTR07-07;EV-ENTR08-02,RF,CU-11,HU-11,CA-11,Asistencia,MU-20;MU-30*;MU-46;MU-47*,Must / Basico,"El sistema registrara una asistencia no biometrica en una accion tras validar identidad operativa y vigencia, o documentara una excepcion autorizada."
RF-ASI-02,Operacion,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR03-01;EV-ENTR07-01;EV-ENTR08-05;EV-ENTR09-06,RF,CU-12,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must / Desempeno,"El sistema filtrara asistencias por cliente, fecha y turno, y mostrara conteos operativos."
RF-INV-01,Operacion,Art. N/A,Administrar productos,Administrador,EV-ENTR01-01;EV-ENTR02-05,RF,CU-13,HU-13,CA-13,Inventario,MU-19;MU-28;MU-44*;MU-45*,Must / Basico,"El sistema registrara productos con codigo, nombre, precio, unidad, stock minimo y estado."
RF-INV-02,Operacion,Art. N/A,Registrar movimientos de stock,Personal autorizado,EV-ENTR01-04;EV-ENTR04-04;EV-ENTR07-03,RF,CU-14,HU-14,CA-14,Inventario,MU-69,Must / Basico,"El sistema registrara entradas y ajustes con cantidad, motivo, responsable y saldo resultante."
RF-VEN-01,Operacion,Art. N/A,Registrar venta,Recepcion,EV-ENTR02-05;EV-ENTR03-01;EV-ENTR04-04;EV-ENTR07-03;EV-ENTR08-03,RF,CU-15,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must / Basico,"El sistema registrara una venta con items y medio de pago, y descontara existencias en la misma transaccion."
RF-INV-03,Base interna,N/A,Alertar stock y rotacion,Administrador,EV-ENTR01-04;EV-ENTR02-05;EV-ENTR05-04;EV-ENTR06-04,RF,,,CA-N/A,Inventario,MU-10;MU-19;MU-44*,Should / Desempeno,"El sistema listara productos en o bajo stock minimo y resumira entradas, salidas y ventas por periodo."
RF-CAJ-01,Operacion,Art. N/A,Cerrar turno y conciliar caja,Recepcion,EV-ENTR02-01;EV-ENTR02-06;EV-ENTR03-05;EV-ENTR04-05;EV-ENTR07-03;EV-ENTR08-04,RF,CU-16,HU-16,CA-16,Caja,MU-70,Must / Basico,"El sistema calculara pagos y ventas por medio, comparara valores declarados y registrara diferencias y entrega de turno."
RF-NOV-01,Operacion,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR02-01;EV-ENTR02-08;EV-ENTR03-07;EV-ENTR04-06;EV-ENTR05-01,RF,CU-17,HU-17,CA-17,Novedades,MU-21;MU-31*;MU-50;MU-51*;MU-61,Must / Desempeno,"El sistema creara una novedad con categoria, detalle minimo, responsable, vencimiento y estados pendiente, en proceso, resuelta o cancelada."
RF-INS-01,Base interna,N/A,Gestionar horario y disponibilidad de instructor,Administrador,EV-ENTR07-06;EV-ENTR09-03;EV-ENTR10-02,RF,,,CA-N/A,Instructores,MU-23;MU-33;MU-48*;MU-49*;MU-58,Should / Desempeno,"El sistema registrara turnos, capacidad, disponibilidad y novedades operativas del instructor, sin datos de salud."
RF-RUT-01,Operacion,Art. N/A,Administrar rutinas,Instructor,EV-ENTR01-05;EV-ENTR05-04;EV-ENTR09-01;EV-ENTR09-02;EV-ENTR09-03,RF,CU-18,HU-18,CA-18,Rutinas,MU-17*;MU-29*;MU-54;MU-55;MU-64(F),Must / Basico,"El sistema creara una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y dias, y la asignara a un cliente sintetico o autorizado."
RF-RUT-02,Operacion,Art. N/A,Registrar seguimiento,Instructor,EV-ENTR01-05;EV-ENTR09-01;EV-ENTR09-04;EV-ENTR10-01;EV-ENTR10-03,RF,CU-19,HU-19,CA-19,Rutinas,MU-17*;MU-54,Must / Desempeno,El sistema creara una nueva version al modificar ejercicios o parametros y conservara las versiones anteriores en solo lectura.
RF-RUT-03,Base interna,N/A,Registrar seguimiento operativo,Instructor,EV-ENTR09-04;EV-ENTR09-05;EV-ENTR09-06;EV-ENTR10-03;EV-ENTR10-04,RF,,,CA-N/A,Rutinas,MU-59;MU-60*,Should / Desempeno,"El sistema registrara fecha, cumplimiento de ejercicios, repeticiones y observacion operativa, excluyendo diagnosticos, lesiones, peso y medidas reales."
RF-REP-01,Base interna,N/A,Consultar panel y reportes,Administrador,EV-ENTR01-05;EV-ENTR05-05;EV-ENTR06-04;EV-ENTR07-04;EV-ENTR08-05;EV-ENTR09-05,RF,,,CA-N/A,Reportes,MU-10;MU-24;MU-34,Should / Desempeno,"El sistema mostrara indicadores filtrables de membresias, pagos, asistencias, ventas, caja, inventario y novedades, con exportacion CSV."
RNF-AF-01,ISO/IEC/IEEE 29148,,Adecuacion funcional,Equipo PFC / perfiles de usuario,REF-ISO29148,RNF,,,CA-N/A,General,No aplica,Obligatorio,"En cada version candidata, el 100 \% de los RF Must tendra al menos un criterio de aceptacion ejecutable y una evidencia de prueba; no se libera si alguno falla."
RNF-ED-01,ISO/IEC 25010,,Eficiencia de desempeno,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,"Con 10 000 clientes sinteticos y 20 sesiones concurrentes, el percentil 95 de busqueda y consulta de membresia sera $\leq$ 5 s y la tasa de error $\leq$ 1 \%."
RNF-ED-02,ISO/IEC 25010,,Eficiencia de desempeno,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,El registro de asistencia confirmada completara el flujo en $\leq$ 30 s para al menos 9 de 10 tareas de una prueba moderada.
RNF-COM-01,ISO/IEC 25010,,Compatibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,"Las funciones Must superaran el 100 \% de sus pruebas en las dos versiones estables mas recientes de Chrome, Edge y Firefox disponibles al corte."
RNF-IU-01,ISO/IEC 25010 / Rúbrica,,Interaccion de usuario,Equipo PFC / perfiles de usuario,EV-VAL-01,RNF,,,CA-IU-01,Interfaces,MU-01;MU-37;MU-47;MU-55,Obligatorio,"Al menos 9 de 10 tareas criticas de alta, renovacion, pago, asistencia y venta se completaran sin ayuda por cada perfil en walkthrough; la medicion esta pendiente."
RNF-IU-02,WCAG 2.2,,Interaccion de usuario,Equipo PFC / perfiles de usuario,REF-WCAG22,RNF,,,CA-IU-02,Interfaces,MU-10;MU-22;MU-68;MU-69;MU-70,Obligatorio,"Las pantallas Must cumpliran WCAG 2.2 nivel AA en criterios aplicables mediante auditoria automatica y revision manual, sin errores criticos."
RNF-FIA-01,ISO/IEC 25010,,Fiabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,"Tras 100 operaciones transaccionales de pago, venta y asistencia con una interrupcion simulada, no habra registros parciales y la recuperacion sera $\leq$ 10 min."
RNF-FIA-02,ISO/IEC 25010 / OWASP,,Fiabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010;REF-OWASP,RNF,,,CA-N/A,General,No aplica,Obligatorio,Una copia diaria cifrada permitira restaurar una base sintetica de prueba con RPO $\leq$ 24 h y RTO $\leq$ 4 h en un simulacro documentado.
RNF-SEG-01,LOPDP / OWASP,Arts. 10 y 20,Seguridad,Equipo PFC / perfiles de usuario,REF-LOPDP;REF-OWASP,RNF,,,CA-SEG-01,Seguridad,MU-01,Obligatorio,El 100 \% de las pruebas negativas de autorizacion impedira acceso a funciones o datos fuera del rol y registrara el intento sin exponer datos personales.
RNF-SEG-02,LOPDP / SPDP,"Arts. 10, 25, 26 y 39",Seguridad,Equipo PFC / perfiles de usuario,REF-LOPDP;REF-SPDP,RNF,,,CA-SEG-02,Seguridad,MU-22,Obligatorio,"Por defecto se almacenaran solo codigo interno, nombre de uso y contacto opcional; salud, biometria, peso, medidas, direccion e imagen corporal real tendran cobertura de captura igual a 0 \% en desarrollo y pruebas."
RNF-SEG-03,OWASP / NIST,,Seguridad,Equipo PFC / perfiles de usuario,REF-OWASP;REF-NIST,RNF,,,CA-SEG-03,Despliegue,DEP-01,Obligatorio,Las sesiones expiraran tras 15 min de inactividad; secretos no se almacenaran en texto claro y todo trafico de un despliegue conectado usara TLS 1.2 o superior.
RNF-MAN-01,ISO/IEC 25010,,Mantenibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-MAN-01,Componentes,COMP-01,Obligatorio,La suite automatizada cubrira $\geq$ 70 \% de lineas de los modulos de dominio antes de etiquetar una version candidata.
RNF-MAN-02,ISO/IEC/IEEE 29148,,Mantenibilidad,Equipo PFC / perfiles de usuario,REF-ISO29148,RNF,,,CA-MAN-02,Auditoria,MU-25,Obligatorio,"Los modulos Clientes, Membresias, Pagos, Asistencia, Inventario, Caja y Rutinas tendran interfaces explicitas; un cambio de regla en un modulo no exigira modificar mas de un modulo consumidor."
RNF-POR-01,ISO/IEC 25010,,Portabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,"El sistema web y sus pruebas se desplegaran con una unica instruccion documentada en Windows 11 y una distribucion Linux LTS, sin editar codigo fuente."
RNF-FLE-01,ISO/IEC 25010,,Flexibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,RNF,,,CA-N/A,General,No aplica,Obligatorio,"Planes, precios, stock minimo, roles operativos y ventanas de alerta se modificaran por configuracion autorizada sin recompilar ni editar codigo."
RD-PRI-01,LOPDP / SPDP,"Arts. 4, 10, 25, 26 y 39",Exclusion de salud y biometria real,Equipo PFC / responsable del tratamiento,REF-LOPDP;REF-SPDP,RD,,,CA-PRI-01,Privacidad,No aplica,Obligatorio,"Excluir datos reales de salud y biometria automatizada; usar minimizacion, seudonimizacion y datos sinteticos en diseno y pruebas."
RD-PRI-02,LOPDP / SPDP,Arts. 10 y 39,Privacidad por diseno y minimo privilegio,Equipo PFC / responsable del tratamiento,REF-LOPDP;REF-SPDP,RD,,,CA-PRI-02,Seguridad,No aplica,Obligatorio,"Aplicar privacidad desde el diseno y por defecto, minimo privilegio y conservacion limitada."
RD-PRI-03,LOPDP,Art. 39,Derechos del titular,Equipo PFC / responsable del tratamiento,REF-LOPDP,RD,,,CA-PRI-03,Clientes,No aplica,Obligatorio,"Prever mecanismos trazables de acceso, rectificacion, actualizacion, eliminacion, oposicion y portabilidad antes de produccion."
RD-IA-01,Paquete ético / memo de alcance,Categoría A,No incorporar IA/AA sin validacion,Equipo PFC / responsable del tratamiento,MEMO-ALCANCE-IA,RD,,,CA-IA-01,Alcance,No aplica,Obligatorio,"No incorporar IA o aprendizaje automatico al producto mientras no exista necesidad elicitada, evaluacion de riesgo, adenda y validacion."
