archivo,columna,tipo,unidad,rango_o_valores,valores_perdidos,procedencia,descripcion
datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Orden,entero,conteo,observado: 1 a 6,0 de 6,Copia de 06_Experimento/datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Posición secuencial de la sesión dentro del orden utilizado para calcular acumulación y estabilización.
datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Codigo_Sesion,texto/categórico,no aplica,WALK-NTEC-01 | WALK-NTEC-02 | WALK-NTEC-03 | WALK-TEC-01 | WALK-TEC-02 | WALK-TEC-03,0 de 6,Copia de 06_Experimento/datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Identificador estable y seudonimizado de la sesión empírica.
datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Codigos_normalizados_en_sesion,entero,conteo,observado: 8 a 14,0 de 6,Copia de 06_Experimento/datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Cantidad de códigos normalizados observados en la sesión.
datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Codigos_nuevos,entero,conteo,observado: 2 a 12,0 de 6,Copia de 06_Experimento/datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Cantidad de códigos normalizados que aparecen por primera vez en esa sesión.
datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Codigos_nuevos_detalle,texto/categórico,no aplica,texto libre o identificador; 6 valores distintos observados,0 de 6,Copia de 06_Experimento/datos_crudos/curva_codigos_nuevos_walkthroughs_fuente.csv,Listado de los códigos normalizados identificados por primera vez en esa sesión.
datos_crudos/diccionario_codigos_walkthroughs.csv,Codigo,texto/categórico,no aplica,texto libre o identificador; 37 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Código normalizado documentado en el libro de códigos de walkthroughs.
datos_crudos/diccionario_codigos_walkthroughs.csv,Categoria,texto/categórico,no aplica,texto libre o identificador; 18 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Categoría temática o axial asignada al fragmento codificado.
datos_crudos/diccionario_codigos_walkthroughs.csv,Definicion,texto/categórico,no aplica,texto libre o identificador; 37 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Definición operativa del código utilizado durante la codificación de walkthroughs.
datos_crudos/diccionario_codigos_walkthroughs.csv,Incluir_cuando,texto/categórico,no aplica,texto libre o identificador; 1 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Criterio que indica cuándo un fragmento debe codificarse con este código.
datos_crudos/diccionario_codigos_walkthroughs.csv,Excluir_cuando,texto/categórico,no aplica,texto libre o identificador; 1 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Criterio que indica cuándo un fragmento no debe asignarse a este código.
datos_crudos/diccionario_codigos_walkthroughs.csv,Ejemplo_ID,texto/categórico,no aplica,texto libre o identificador; 37 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Identificador de un registro del corpus usado como ejemplo del código.
datos_crudos/diccionario_codigos_walkthroughs.csv,Ejemplo_fragmento,texto/categórico,no aplica,texto libre o identificador; 37 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Fragmento textual de ejemplo que ilustra la aplicación del código.
datos_crudos/diccionario_codigos_walkthroughs.csv,Notas,texto/categórico,no aplica,texto libre o identificador; 1 valores distintos observados,0 de 37,Copia de 06_Experimento/datos_crudos/diccionario_codigos_walkthroughs.csv,Notas adicionales para aplicar o interpretar el código de forma consistente.
datos_crudos/encuesta_clientes_anonimizada.csv,Marca temporal,fecha/fecha-hora,no aplica,texto libre o identificador; 70 valores distintos observados,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Fecha y hora registradas por Google Forms al recibir la respuesta incluida en el conjunto analítico.
datos_crudos/encuesta_clientes_anonimizada.csv,Confirmación inicial,texto/categórico,no aplica,Acepto participar voluntariamente y declaro tener 18 años o más.,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta a la confirmación inicial de consentimiento y participación voluntaria.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Con qué frecuencia asiste al gimnasio?,texto/categórico,no aplica,1 vez por semana | 2 a 3 veces por semana | 4 a 5 veces por semana | 6 o más veces por semana,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta declarada sobre la frecuencia de asistencia al gimnasio.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Cuánto tiempo lleva asistiendo a este gimnasio?,texto/categórico,no aplica,De 1 a 6 meses | De 7 a 12 meses | Menos de 1 mes | Más de 1 año,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta declarada sobre el tiempo de permanencia o antigüedad como asistente del gimnasio.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Cómo suele consultar o confirmar el estado de su membresía?,texto/categórico,no aplica,Consulta verbal en recepción | Huella dactilar | Mensaje por WhatsApp u otro medio | No suele verificarlo | No voy al gym | Pago diariamente | Tarjeta o credencial | Ubicamos nuestro rostro en una máquina y eso nos da acceso,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre el medio o procedimiento usado para consultar o confirmar el estado de la membresía.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Con qué frecuencia ha tenido dificultad para conocer la fecha de vencimiento de su membresía?,fecha/fecha-hora,no aplica,A veces | Casi nunca | Casi siempre | Nunca | Siempre,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre la frecuencia con que la persona ha tenido dificultad para conocer el vencimiento de su membresía.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Con qué frecuencia ha debido esperar para confirmar que un pago fue registrado correctamente?,texto/categórico,no aplica,A veces | Casi nunca | Casi siempre | Nunca | Siempre,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre la frecuencia con que la persona ha debido esperar para confirmar el registro de un pago.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué medio prefiere para recibir avisos sobre el vencimiento de su membresía?,texto/categórico,no aplica,Aviso presencial | Correo electrónico | No deseo recibir avisos | Notificación del sistema | WhatsApp,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre el medio preferido para recibir avisos de vencimiento.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué tan fácil le resulta inscribirse o actualizar sus datos en el gimnasio?,texto/categórico,no aplica,Difícil | Fácil | Muy difícil | Muy fácil | Ni fácil ni difícil,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Valoración declarada de facilidad para inscribirse o actualizar datos.
datos_crudos/encuesta_clientes_anonimizada.csv,"¿Qué tan clara considera la información sobre los planes, precios y condiciones de las membresías?",texto/categórico,no aplica,Clara | Muy clara | Muy poco clara | Ni clara ni poco clara | Poco clara,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,"Valoración declarada de claridad de la información sobre planes, precios y condiciones."
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué tan satisfecho(a) está con la atención recibida por parte del personal del gimnasio?,texto/categórico,no aplica,Insatisfecho(a) | Muy insatisfecho(a) | Muy satisfecho(a) | Ni satisfecho(a) ni insatisfecho(a) | Satisfecho(a),0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Valoración declarada de satisfacción con la atención del personal.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Cómo se registra normalmente su ingreso al gimnasio?,texto/categórico,no aplica,Aviso verbal | Cuaderno o lista impresa | No se registra | Sistema digital | Tarjeta o credencial,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre el método habitual utilizado para registrar el ingreso.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Con qué frecuencia consulta su rutina o solicita cambios al entrenador?,texto/categórico,no aplica,Cada quince días | Nunca | Una vez al mes | Una vez por semana | Varias veces por semana,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre la frecuencia de consulta de rutina o solicitud de cambios.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué información le gustaría poder consultar en el futuro sistema?,texto/categórico,no aplica,Avisos y novedades | Compras de productos | Estado de la membresía | Pagos realizados | Registro de asistencia | Rutina asignada,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta abierta o categórica sobre información deseada en el futuro sistema.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Ha tenido dificultades al comprar productos dentro del gimnasio?,texto/categórico,no aplica,Demora o error en el registro o pago | Falta de disponibilidad | No compro | No he tenido dificultades | Otra dificultad | Precio poco claro o diferente,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre dificultades experimentadas durante la compra de productos.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué aspecto considera que debería mejorarse primero?,texto/categórico,no aplica,Atención al cliente | Comunicación y avisos | Inventario y ventas | Membresías | Pagos | Rutinas,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta sobre el aspecto que debería priorizarse para mejora.
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué tan importante considera la privacidad de sus datos personales?,texto/categórico,no aplica,Importante | Moderadamente importante | Muy importante | Nada importante | Poco importante,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Valoración declarada de la importancia de la privacidad de los datos personales.
datos_crudos/encuesta_clientes_anonimizada.csv,Escriba un comentario opcional sobre su experiencia en el gimnasio. No incluya nombres ni datos de salud.,texto/categórico,no aplica,texto libre o identificador; 40 valores distintos observados,28 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,"Comentario abierto opcional sobre la experiencia en el gimnasio, solicitado sin nombres ni datos de salud."
datos_crudos/encuesta_clientes_anonimizada.csv,"¿Qué cambio facilitaría más su experiencia con la membresía, los pagos o el registro de asistencia?",texto/categórico,no aplica,texto libre o identificador; 57 valores distintos observados,0 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,"Respuesta abierta sobre el cambio que facilitaría la experiencia con membresía, pagos o asistencia."
datos_crudos/encuesta_clientes_anonimizada.csv,¿Qué función adicional le gustaría encontrar en el futuro sistema?,texto/categórico,no aplica,texto libre o identificador; 42 valores distintos observados,28 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Respuesta abierta sobre funciones adicionales deseadas para el futuro sistema.
datos_crudos/encuesta_clientes_anonimizada.csv,Nombre de participante,texto/categórico,no aplica,sin valores observados,70 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Columna directa de identificación conservada vacía en el conjunto público.
datos_crudos/encuesta_clientes_anonimizada.csv,Columna 21,texto/categórico,no aplica,sin valores observados,70 de 70,Copia de 06_Experimento/datos_crudos/encuesta_clientes_anonimizada.csv,Columna final sin contenido en el cuestionario público.
datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Orden,entero,conteo,observado: 1 a 6,0 de 6,Copia de 06_Experimento/datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Posición secuencial de la sesión dentro del orden utilizado para calcular acumulación y estabilización.
datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Codigo_Sesion,texto/categórico,no aplica,WALK-NTEC-01 | WALK-NTEC-02 | WALK-NTEC-03 | WALK-TEC-01 | WALK-TEC-02 | WALK-TEC-03,0 de 6,Copia de 06_Experimento/datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Identificador estable y seudonimizado de la sesión empírica.
datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Categorias_axiales_en_sesion,entero,conteo,observado: 5 a 11,0 de 6,Copia de 06_Experimento/datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Cantidad de categorías axiales observadas en la sesión.
datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Categorias_axiales_nuevas,entero,conteo,observado: 0 a 8,0 de 6,Copia de 06_Experimento/datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Cantidad de categorías axiales que aparecen por primera vez en esa sesión.
datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Categorias_nuevas_detalle,texto/categórico,no aplica,ADAP; DAT; LEG; SEG_CONT | ASIS; CLI; COM; INFO; REP; RUT; SEG_AUD; USAB | ERR | ESC; INV; SEG_ROL; VAL; VAL_IR,2 de 6,Copia de 06_Experimento/datos_crudos/estabilizacion_categorias_axiales_fuente.csv,Listado de categorías axiales identificadas por primera vez en la sesión.
datos_crudos/fragmentos_pertinentes_explicabilidad.csv,ID_Registro,texto/categórico,no aplica,WALK-NTEC-01-F008 | WALK-NTEC-03-F003 | WALK-TEC-01-F003 | WALK-TEC-01-F014 | WALK-TEC-02-F006 | WALK-TEC-02-F007 | WALK-TEC-02-F008 | WALK-TEC-02-F009 | WALK-TEC-03-F014,0 de 9,Copia de 06_Experimento/datos_crudos/fragmentos_pertinentes_explicabilidad.csv,Identificador único del fragmento codificado dentro del corpus de walkthroughs.
datos_crudos/fragmentos_pertinentes_explicabilidad.csv,Codigo_Sesion,texto/categórico,no aplica,WALK-NTEC-01 | WALK-NTEC-03 | WALK-TEC-01 | WALK-TEC-02 | WALK-TEC-03,0 de 9,Copia de 06_Experimento/datos_crudos/fragmentos_pertinentes_explicabilidad.csv,Identificador estable y seudonimizado de la sesión empírica.
