ID_Registro,Codigo_Sesion,Perfil,Rol_Contexto,Fuente,Timestamp,Fragmento,Codigo,Codigo_Normalizado,Codigo_Axial,Categoria,Hallazgo_Interpretado,Tipo_Requisito,Requisito_Derivado,Aplicable_Explicabilidad,Dimension_Explicabilidad,Confianza_Codificacion,ID_Evidencia,Codificador,Estado_Analisis,Observaciones
WALK-NTEC-03-F002,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,05:47-05:57,"...cuando mi cliente acceda, me imagino que la interfaz va a ser diferente.",SEG_VISTA_POR_ROL,SEG_ROLES,SEG_ROL,Roles y acceso,Se espera una interfaz diferenciada para cliente.,RF,El sistema deberá presentar vistas y acciones según el rol autenticado.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F003,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,12:33-13:05,Las rutinas... ¿son visualizadas de forma general... o puedo especificar...? ...me parece mejor así... para cada persona.,RUT_PERSONALIZADA,RUT_PERSONALIZACION,RUT,Rutinas y personalizacion,El dueño valora asignación individual además de clases grupales.,RF,El sistema deberá permitir asignar rutinas individuales por cliente y rutinas grupales cuando corresponda.,Si,Personalizacion/transparencia,Media,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,Pertinente como base de personalización; por sí solo no exige explicación del porqué.
WALK-NTEC-03-F004,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,11:14-11:33,...código QR... mostrar la tarjetita y ya con eso la asistencia queda registrada. Claro.,ASIS_QR,ASIS_AUTOMATIZACION,ASIS,Asistencia y automatizacion,El dueño confirma utilidad del control QR planteado.,RF,Mantener el registro de asistencia por QR para clientes con identificación válida.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F005,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,17:24-17:48,De forma general es interesante.,VAL_ACEPTACION,VAL_COBERTURA_GENERAL,VAL,Validacion general,Valoración general positiva del prototipo.,Hallazgo,Mantener los flujos validados y tratar por separado las mejoras específicas encontradas.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F006,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,17:48-18:02,"...se necesita... la asistencia, el control de inventario... mejor control de los ingresos...",VAL_COBERTURA_DOMINIO,VAL_COBERTURA_GENERAL,VAL,Validacion general,Los módulos principales cubren necesidades del negocio según el dueño.,RF,"Mantener cobertura de asistencia, inventario e ingresos como funciones centrales del rol dueño.",No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F007,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,18:03-19:00,...le ahorra tiempo estar revisando lo que es la mensualidad y el programa mismo va a revisar cuánto... está pendiente...,CLI_CONTROL_MENSUALIDAD,CLI_ESTADO_PAGO,CLI,"Clientes, membresias y pagos",El seguimiento de mensualidades reduce esfuerzo administrativo.,RF,El sistema deberá mostrar estado y pendientes de mensualidades por cliente.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F008,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,19:00-20:00,"...se entiende todo. Muy bien, es claro y preciso.",USAB_INTUITIVA,USAB_NAVEGACION_CLARA,USAB,Usabilidad y navegacion,La interfaz es clara para el dueño.,RNF,Mantener terminología y navegación clara para el rol dueño.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F009,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,20:01-21:30,"...para el trabajo diario... está completo, solo habría que ver... cómo se va a visualizar en el celular si no se satura...",PERS_MOVIL,PERS_ADAPTABILIDAD,ADAP,Adaptabilidad y visualizacion,Se requiere verificar legibilidad y densidad de información en móvil.,RNF,La interfaz deberá adaptarse a pantalla móvil sin solapamientos ni saturación que impida leer o accionar controles.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F010,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,20:01-21:30,...habría que enseñar a los muchachos... pero para mí... sería fácil.,USAB_CAPACITACION,USAB_APRENDIZAJE,USAB,Usabilidad y navegacion,El dueño anticipa capacitación para parte del personal.,RNF,Proveer ayudas de uso suficientes para que personal nuevo complete tareas básicas tras una inducción breve.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-NTEC-03-F011,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,21:32-22:07,"...se podrá cambiar el nombre del gimnasio, los colores, adecuar a cada negocio... lo veo excelente...",PERS_BRANDING,PERS_ADAPTABILIDAD,ADAP,Adaptabilidad y visualizacion,Se valora personalización visual por negocio.,RF,El administrador deberá poder configurar nombre e identidad visual básica del gimnasio.,No,,Alta,WALK-NTEC-03,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F001,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,02:42-05:42,...si yo no quiero tener membresía... pago diario... porque en algún lado debería estar ahí...,CLI_PAGO_CASUAL,CLI_MODALIDADES_PAGO,CLI,"Clientes, membresias y pagos",Debe contemplarse cliente recurrente/casual sin membresía tradicional.,RF,El sistema deberá registrar clientes con pago diario o modalidades no recurrentes sin exigir membresía mensual.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F002,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,07:54-08:24,Yo pensé que la cliente estaba... suspendida... la palabra no conviene... tiene que ser estado de pago...,INF_ETIQUETAS_ESTADO,INFO_ETIQUETAS_CLARAS,INFO,Claridad e informacion,La etiqueta genérica 'estado' genera ambigüedad.,RNF,"Cada estado deberá indicar explícitamente su objeto (estado de pago, cliente, plan, novedad, etc.).",No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F003,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,10:23-11:28,...debería visualizar... la lista... observaciones... fecha y hora... un registro previo... ¿dónde yo veo... mi propia rutina?... tener un registro...,RUT_CONSULTA_HISTORIAL,RUT_CONSULTA_HISTORIAL,RUT,Rutinas y personalizacion,Se requiere consulta de rutina propia con detalle e historial.,RF,"El cliente deberá poder consultar su rutina vigente, ejercicios, observaciones, fecha y un historial de rutinas previas.",Si,Detalle/transparencia,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,Fragmento directamente relacionado con qué información necesita comprender el usuario sobre su rutina.
WALK-TEC-01-F004,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,12:01-12:26,...el informe... de la rutina... se va a enviar por WhatsApp o correo... lista... para tal fecha y tal día... series... tiempo estimado.,COM_RUTINA_CANAL,COM_CANALES,COM,Comunicacion,La rutina debería ser accesible por canales de comunicación al cliente.,RF,"El sistema deberá permitir compartir al cliente el detalle de la rutina por un canal configurado, incluyendo fecha, series y tiempo estimado.",No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F005,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,13:09-14:04,...nos daban... un código QR... una pulsera o un llavero... lo pasábamos con un lector...,ASIS_QR,ASIS_AUTOMATIZACION,ASIS,Asistencia y automatizacion,La experiencia previa respalda un mecanismo automático de asistencia.,RF,El sistema deberá admitir identificación QR para registrar asistencia de forma automática.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F006,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,14:19-14:57,...esa sí habría que mejorar la palabra... ahí sería la categoría... fuerza... hipertrofia... full body...,INF_CATEGORIA_RUTINA,INFO_ETIQUETAS_CLARAS,INFO,Claridad e informacion,La categoría de actividad/rutina debe tener términos precisos.,RNF,Las categorías de rutina deberán usar términos no ambiguos y diferenciados.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F007,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,15:44-16:28,"¿Estado de qué es?... estado de pago, estado de cliente, estado de plan... para especificar mejor... eso... trae confusión.",INF_ETIQUETAS_ESTADO,INFO_ETIQUETAS_CLARAS,INFO,Claridad e informacion,Se repite la necesidad de contextualizar estados.,RNF,Normalizar las etiquetas de estado en todos los módulos indicando la entidad o proceso al que pertenecen.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F008,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,16:40-17:07,...tiene que haber un teléfono para contactar... el WhatsApp sí.,COM_TELEFONO_WHATSAPP,COM_CANALES,COM,Comunicacion,Teléfono/WhatsApp es un canal prioritario de contacto.,RF,El registro de cliente deberá disponer de teléfono de contacto y permitir usarlo como canal operativo autorizado.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F009,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,17:34-17:48,Auditoría... es lo que hizo el usuario... administrador... recepcionista... se eliminó un cliente...,SEG_AUDITORIA,SEG_AUDITORIA,SEG_AUD,Seguridad y trazabilidad operativa,Se valora trazabilidad de acciones por usuario.,RNF,"El sistema deberá registrar en auditoría las acciones relevantes indicando usuario, acción, entidad y fecha/hora.",No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F010,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,18:24-18:55,...de estar fácil está fácil. Se entiende rápido... la forma de interactuar...,USAB_INTUITIVA,USAB_NAVEGACION_CLARA,USAB,Usabilidad y navegacion,La navegación se comprende rápidamente.,RNF,Mantener una navegación consistente y comprensible entre módulos.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F011,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,18:57-19:13,...aumentar aquí... el estado de qué para aclarar...,INF_ETIQUETAS_ESTADO,INFO_ETIQUETAS_CLARAS,INFO,Claridad e informacion,La aclaración contextual de estados se considera prioritaria.,RNF,Mostrar etiqueta completa y contextual para cada estado presentado.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F012,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,19:35-20:24,...número de cédula... es mucho... un código de cuatro dígitos... automáticamente aparecía toda esa información... no es recomendable el número de cédula.,CLI_IDENTIFICADOR_OPERATIVO,CLI_IDENTIFICACION,CLI,"Clientes, membresias y pagos",Se propone identificador operativo más corto para búsquedas frecuentes.,RF,El sistema deberá permitir localizar al cliente mediante un identificador operativo o búsqueda asistida sin exigir digitar siempre la cédula completa.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F013,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,21:08-21:48,...yo como cliente necesito ver si he pagado... si en la plataforma está registrada que pagué o no pagué...,CLI_CONSULTA_ESTADO_PAGO,CLI_ESTADO_PAGO,CLI,"Clientes, membresias y pagos",El cliente necesita consultar su estado de pago.,RF,El cliente deberá poder consultar el estado de sus pagos y membresías.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-01-F014,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,21:33-21:48,...las rutinas nuevas que me van a poner... un registro... como para consultar.,RUT_CONSULTA_CLIENTE,RUT_CONSULTA_HISTORIAL,RUT,Rutinas y personalizacion,El cliente necesita consultar las nuevas rutinas asignadas.,RF,El cliente deberá poder consultar las rutinas nuevas asignadas sin requerir privilegios de edición.,Si,Accesibilidad/transparencia,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,Refuerza la necesidad de acceso a la información de la recomendación/rutina.
WALK-TEC-01-F015,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,22:17-23:05,...al dueño podría... ver... cuántos clientes... cómo ha ido el flujo de clientes... clientes nuevos...,INF_TENDENCIA_CLIENTES,INFO_DASHBOARD,REP,Reportes y dashboard,El dashboard del dueño debería mostrar tendencia de clientes.,RF,El dashboard del dueño deberá mostrar evolución de clientes activos/nuevos por periodo.,No,,Alta,WALK-TEC-01,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F001,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,05:53-06:40,"...cuando yo vendo algo, ¿qué pasa con el inventario?... tiene que disminuir... automáticamente... por eso el inventario no se debe editar.",INV_STOCK_AUTOMATICO,INV_STOCK,INV,Inventario y ventas,Venta debe descontar stock automáticamente.,RF,"Al confirmar una venta de producto, el sistema deberá descontar automáticamente la cantidad correspondiente del stock.",No,,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F002,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,07:14-08:13,...debe permitir que haya clientes que vengan aunque no estén en una membresía... registrar asistencia...,CLI_PAGO_CASUAL,CLI_MODALIDADES_PAGO,CLI,"Clientes, membresias y pagos",La operación debe admitir usuarios sin membresía regular.,RF,El sistema deberá registrar asistencia y cobros de clientes ocasionales sin requerir una membresía periódica.,No,,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F003,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,09:16-10:44,"...con pocos roles, no hace falta hacer todo ese proceso... el administrador ingresa y crea el usuario nuevo y le asigna el rol...",SEG_ALTA_USUARIO_ADMIN,SEG_ROLES,SEG_ROL,Roles y acceso,"Para pocos roles, se recomienda alta directa por administrador.",RF,El administrador deberá poder crear usuarios internos y asignarles rol sin un flujo de autorregistro obligatorio.,No,,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F004,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,11:15-12:10,...sí creo útil... permitir que los clientes se puedan registrar automáticamente... pagar en línea la suscripción...,CLI_AUTOREGISTRO_PAGO,CLI_AUTOSERVICIO,CLI,"Clientes, membresias y pagos",Se valora futuro autoservicio del cliente para registro y pago.,RF,El sistema podrá incorporar autoservicio de cliente para registro y pago en línea sujeto a validación del administrador.,No,,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F005,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,12:16-12:34,...los clientes también deben... tener un control de sus propias rutinas... podrían integrar entre WhatsApp y la aplicación...,COM_WHATSAPP,COM_CANALES,COM,Comunicacion,Se propone integración para comunicar rutinas al cliente.,RF,El sistema deberá permitir notificar o compartir rutinas mediante un canal de mensajería configurado.,No,,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,
WALK-TEC-02-F006,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,13:43-15:01,...cada cliente... rutina personalizada... en función de las necesidades... cada quien sigue su propia rutina en función de las recomendaciones del entrenador.,RUT_JUSTIFICACION_OBJETIVO,RUT_OBJETIVO_CONTEXTO,RUT,Rutinas y personalizacion,La rutina debe responder a objetivos/necesidades individuales.,RF,Cada rutina asignada o recomendada deberá asociarse a un cliente y a su objetivo o necesidad registrada.,Si,Justificacion/personalizacion,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,Base directa para explicar por qué una rutina es adecuada para un cliente.
WALK-TEC-02-F007,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,15:07-15:52,...no todos tenemos los mismos objetivos... hay personas... por salud... rutina muy particular...,RUT_OBJETIVOS_SALUD,RUT_OBJETIVO_CONTEXTO,RUT,Rutinas y personalizacion,Objetivos y condiciones de salud cambian la rutina requerida.,RNF,El componente de recomendación deberá considerar las restricciones y objetivos registrados antes de proponer una rutina.,Si,Justificacion/contexto,Alta,WALK-TEC-02,Equipo_FabroGym,CODIFICADO_POST_OSF,Pertinente al fundamento que debe poder explicarse; tratar datos de salud según política de privacidad.
