Marca temporal,Confirmación inicial,  ¿Con qué frecuencia asiste al gimnasio?  ,  ¿Cuánto tiempo lleva asistiendo a este gimnasio?  ,  ¿Cómo suele consultar o confirmar el estado de su membresía?  ,  ¿Con qué frecuencia ha tenido dificultad para conocer la fecha de vencimiento de su membresía?  ,¿Con qué frecuencia ha debido esperar para confirmar que un pago fue registrado correctamente?  ,¿Qué medio prefiere para recibir avisos sobre el vencimiento de su membresía?  ,¿Qué tan fácil le resulta inscribirse o actualizar sus datos en el gimnasio?  ,"¿Qué tan clara considera la información sobre los planes, precios y condiciones de las membresías?  ",¿Qué tan satisfecho(a) está con la atención recibida por parte del personal del gimnasio?  ,¿Cómo se registra normalmente su ingreso al gimnasio?  ,¿Con qué frecuencia consulta su rutina o solicita cambios al entrenador?  ,¿Qué información le gustaría poder consultar en el futuro sistema?  ,¿Ha tenido dificultades al comprar productos dentro del gimnasio?  ,¿Qué aspecto considera que debería mejorarse primero?  ,¿Qué tan importante considera la privacidad de sus datos personales?  ,Escriba un comentario opcional sobre su experiencia en el gimnasio. No incluya nombres ni datos de salud.  ,"¿Qué cambio facilitaría más su experiencia con la membresía, los pagos o el registro de asistencia?  ",¿Qué función adicional le gustaría encontrar en el futuro sistema?  ,Nombre de participante,Columna 21
27/07/2026 19:41:56,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Tarjeta o credencial,Casi nunca,Casi nunca,WhatsApp,Ni fácil ni difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Una vez al mes,Registro de asistencia,Precio poco claro o diferente,Pagos,Poco importante,,Si ,No c,,
27/07/2026 19:53:45,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 7 a 12 meses,Pago diariamente ,Casi nunca,Casi nunca,Aviso presencial,Fácil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Nunca,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Importante,Ninguna ,Seguimiento del pago realizado y recordatorios de cuando ya se esta acercando la fecha de volver a pagar ,"Mmmm un chat por si deseo preguntar algo hacerca de la técnica de un ejercicio,progresión recomendada segun mi evolución y sobre la comida",,
27/07/2026 20:35:29,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Nunca,Registro de asistencia,Precio poco claro o diferente,Atención al cliente,Moderadamente importante,,Realizar pagos de forma rápida y segura,,,
27/07/2026 20:38:41,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,Precio poco claro o diferente,Rutinas,Moderadamente importante,,Una buena organización o un sistema para eso,,,
27/07/2026 20:49:58,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Nunca,Nunca,WhatsApp,Muy difícil,Clara,Satisfecho(a),Aviso verbal,Una vez por semana,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Muy importante,Muy bien ,Los pagos ,,,
27/07/2026 20:58:53,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Casi nunca,WhatsApp,Fácil,Clara,Satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,No he tenido dificultades,Membresías,Muy importante,,Descuentos,,,
27/07/2026 21:01:56,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 7 a 12 meses,Mensaje por WhatsApp u otro medio,Casi nunca,Casi nunca,Aviso presencial,Muy fácil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Nunca,Avisos y novedades,Otra dificultad,Comunicación y avisos,Importante,NInguna,Chat para realizar preguntas que surgen en el momento de entrenar,,,
27/07/2026 21:13:30,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Poco clara,Satisfecho(a),Aviso verbal,Una vez por semana,Rutina asignada,Precio poco claro o diferente,Inventario y ventas,Muy importante,Muy bueno para todo tipo de persona,Llevar una carpeta de todo lo que se hace ,Páginas más claras y accesibles,,
27/07/2026 21:17:04,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Casi nunca,Correo electrónico,Ni fácil ni difícil,Clara,Satisfecho(a),Sistema digital,Una vez al mes,Registro de asistencia,No he tenido dificultades,Membresías,Importante,, Facilitará los pagos en linea y el registro de asistencia con código QR,Sistema incluyera rutinas personalizadas y seguimiento del progreso,,
28/07/2026 7:48:34,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Tarjeta o credencial,Nunca,Casi nunca,WhatsApp,Muy difícil,Poco clara,Muy insatisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Membresías,Nada importante,Que es bueno para la salud ,Ninguno ,Buenas ideas para mejorar ,,
2/08/2026 11:07:56,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,Casi nunca,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Aviso verbal,Nunca,Pagos realizados,Falta de disponibilidad,Atención al cliente,Importante,pues de manera general a sido ni buena ni mala sino regular,sobre todo que me notifiquen ,notificaciones de estados de como voy y de mi membresia,,
2/08/2026 11:13:01,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 7 a 12 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Fácil,Ni clara ni poco clara,Satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Rutinas,Importante,es una buena experiencia mas que todo par hacer actividad física,yo diría que los registro ya que algunas veces se anota en cuadernos o hojas de excel ,un sistema que me ayude a notificar como va mi entrenamiento ,,
2/08/2026 11:20:26,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,A veces,Aviso presencial,Difícil,Poco clara,Insatisfecho(a),Aviso verbal,Una vez al mes,Pagos realizados,No he tenido dificultades,Atención al cliente,Importante,fue mala una por la atención y otra por su organización ,en la administración y recepción tengan un sistema o por whastapp las notificaciones de los pagos,notificaciones por whastapp,,
2/08/2026 11:22:48,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,Casi nunca,Correo electrónico,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Una vez por semana,Estado de la membresía,No he tenido dificultades,Pagos,Muy importante,,"Que los pagos se pudieran hacer directamente desde el celular o con una app, así todo sería más rápido y no tendría que estar pendiente de las fechas.",,,
2/08/2026 11:33:18,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,Casi siempre,Aviso presencial,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Compras de productos,Demora o error en el registro o pago,Pagos,Moderadamente importante,Pues fue normal,Tener un mejor manejo en la gestión de pagos ,Una administración dedicada solo para pagos de membresía,,
2/08/2026 11:34:58,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,Aviso presencial,Fácil,Ni clara ni poco clara,Satisfecho(a),Sistema digital,Nunca,Estado de la membresía,No he tenido dificultades,Comunicación y avisos,Importante,"Mi experiencia ha sido positiva, ya que el ambiente es agradable y me ha permitido mantener la constancia.",La implementación de pagos en línea y un registro de asistencia más rápido.,Recordatorios de pago y seguimiento del progreso.,,
28/08/2026 16:47:45,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Huella dactilar ,Nunca,Casi nunca,Notificación del sistema,Muy fácil,Muy clara,Muy satisfecho(a),Sistema digital,Nunca,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Muy importante,Excelente ,Notificación de Novedades,Notificación de novedades ,,
28/08/2026 16:53:17,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,Casi nunca,Casi nunca,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Atención al cliente,Moderadamente importante,fue muy buena en cuestión de salud,mejor manejo de atención al cliente,ver mis rutinas,,
31/08/2026 21:50:56,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,A veces,Notificación del sistema,Fácil,Clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez por semana,Estado de la membresía,No he tenido dificultades,Atención al cliente,Muy importante,,Que pueda ver un registro,,,
31/08/2026 21:58:50,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,No suele verificarlo,Casi nunca,Casi nunca,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Nunca,Rutina asignada,No he tenido dificultades,Inventario y ventas,Muy importante,,Ninguno ,,,
31/08/2026 21:59:42,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,Más de 1 año,Consulta verbal en recepción,Nunca,Nunca,Aviso presencial,Muy fácil,Muy clara,Muy satisfecho(a),Aviso verbal,Varias veces por semana,Compras de productos,No he tenido dificultades,Inventario y ventas,Muy importante,La verdad es muy buena experiencia ya que uno va a quitarse toda la frustración que ha tenido durante el día ,Nada la verdad todo está 10/10 ,,,
31/08/2026 22:00:10,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,Casi nunca,Aviso presencial,Muy fácil,Clara,Satisfecho(a),Aviso verbal,Varias veces por semana,Estado de la membresía,No he tenido dificultades,Membresías,Muy importante,,Llevar de manera digital mediante notificaciones por cualquier medio,,,
31/08/2026 22:04:17,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,Nunca,Casi nunca,Correo electrónico,Muy fácil,Poco clara,Satisfecho(a),Sistema digital,Cada quince días,Avisos y novedades,No he tenido dificultades,Atención al cliente,Muy importante,Nunca he hido ,Ninguno ,Todo bien,,
31/08/2026 22:10:27,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Tarjeta o credencial,A veces,A veces,Correo electrónico,Ni fácil ni difícil,Clara,Satisfecho(a),Tarjeta o credencial,Cada quince días,Rutina asignada,Precio poco claro o diferente,Inventario y ventas,Importante,,Los pagos ,,,
31/08/2026 22:11:18,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,No suele verificarlo,Casi nunca,A veces,WhatsApp,Muy difícil,Muy poco clara,Muy insatisfecho(a),Sistema digital,Una vez al mes,Estado de la membresía,No he tenido dificultades,Atención al cliente,Moderadamente importante,Agradable ,Que haya avisos: notificaciones ,Algo genial y original 👌,,
31/08/2026 22:16:08,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 1 a 6 meses,No suele verificarlo,Casi nunca,Casi nunca,Correo electrónico,Ni fácil ni difícil,Clara,Muy satisfecho(a),Cuaderno o lista impresa,Nunca,Estado de la membresía,No he tenido dificultades,Comunicación y avisos,Importante,,"Poder ver el estado en que está mi membresía, ver el registro de lo que haya pagado y mi asistencia.",,,
31/08/2026 22:17:34,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Sistema digital,Nunca,Estado de la membresía,Falta de disponibilidad,Membresías,Importante,,"Que exista un sistema más rápido y sencillo para realizar los pagos y registrar la asistencia, evitando filas o procesos complicados.",,,
31/08/2026 22:18:05,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,A veces,Casi siempre,WhatsApp,Ni fácil ni difícil,Muy poco clara,Muy insatisfecho(a),Cuaderno o lista impresa,Nunca,Avisos y novedades,Precio poco claro o diferente,Atención al cliente,Nada importante,Nunca he ido al gym,"No se, pagos supongo",que sea gratis,,
31/08/2026 22:24:00,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Una vez al mes,Rutina asignada,Falta de disponibilidad,Pagos,Importante,"Mi experiencia ha sido buena, pero sería útil mejorar la organización de los horarios y la información sobre los servicios disponibles.","Me facilitaría poder consultar y pagar la membresía desde el celular, además de registrar la asistencia mediante un código QR.","Me gustaría recibir recordatorios sobre el vencimiento de la membresía y consultar los horarios, pagos y asistencias desde el sistema.",,
31/08/2026 22:26:21,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 7 a 12 meses,Ubicamos nuestro rostro en una máquina y eso nos da acceso ,A veces,Casi nunca,Notificación del sistema,Muy fácil,Muy clara,Satisfecho(a),Sistema digital,Varias veces por semana,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Muy importante,Es muy bueno ir al gimnasio ya que  ayuda a desestresarme ,Pagos ,Realmente no sabría ,,
31/08/2026 22:26:25,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 7 a 12 meses,Tarjeta o credencial,A veces,Casi siempre,Notificación del sistema,Difícil,Poco clara,Satisfecho(a),Sistema digital,Cada quince días,Rutina asignada,Demora o error en el registro o pago,Inventario y ventas,Moderadamente importante,,Mucho ,,,
31/08/2026 22:26:33,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,Más de 1 año,Mensaje por WhatsApp u otro medio,Casi nunca,Nunca,WhatsApp,Muy fácil,Clara,Muy insatisfecho(a),Sistema digital,Nunca,Rutina asignada,No he tenido dificultades,Comunicación y avisos,Importante,Muy buena,Los pagos ,"Un espacio de salud nutricional, donde haya asesoramiento y novedades ",,
31/08/2026 22:27:36,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,Menos de 1 mes,No suele verificarlo,Casi nunca,Nunca,WhatsApp,Fácil,Clara,Satisfecho(a),Aviso verbal,Una vez al mes,Pagos realizados,No he tenido dificultades,Comunicación y avisos,Moderadamente importante,Mucho calor,Nose,Un bot q contesta preguntas frecuentes,,
31/08/2026 22:27:59,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Tarjeta o credencial,Nunca,Nunca,Correo electrónico,Difícil,Muy poco clara,Insatisfecho(a),Aviso verbal,Cada quince días,Pagos realizados,Falta de disponibilidad,Rutinas,Muy importante,Normal ,10/10,No lo sé ,,
31/08/2026 22:37:00,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,A veces,WhatsApp,Fácil,Clara,Satisfecho(a),Cuaderno o lista impresa,Una vez por semana,Rutina asignada,No he tenido dificultades,Rutinas,Importante,"La experiencia general en el gimnasio es buena, pero sus rutinas a veces son un poco repetitivas",Permitir el registro de asistencia mediante código QR rápido desde el celular,"Una aplicación móvil donde se pueda ver el aforo del gimnasio en tiempo real, consultar rutinas de entrenamiento y recibir recordatorios del vencimiento de la membresía",,
31/08/2026 22:45:34,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Tarjeta o credencial,A veces,Casi nunca,WhatsApp,Ni fácil ni difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Compras de productos,Precio poco claro o diferente,Membresías,Importante,Detalle de cantidad de proteínas en batidos cucharadas o gramos,Que si es por pago con tarjeta notificación de pagos adelantados ,Estar pendiente de los ejercicios de la semana recomendada por instructor reales ,,
31/08/2026 22:48:13,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,A veces,Aviso presencial,Difícil,Clara,Insatisfecho(a),Sistema digital,Varias veces por semana,Estado de la membresía,No he tenido dificultades,Pagos,Nada importante,,Los pagos,,,
31/08/2026 22:49:16,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,Notificación del sistema,Fácil,Clara,Satisfecho(a),Cuaderno o lista impresa,Nunca,Rutina asignada,No he tenido dificultades,Comunicación y avisos,Muy importante,,"Que se me notifique continuamente, con avisos",Un chat con recomendaciones de IA,,
31/08/2026 22:49:36,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Siempre,A veces,Aviso presencial,Muy fácil,Muy clara,Satisfecho(a),Tarjeta o credencial,Nunca,Rutina asignada,No he tenido dificultades,Atención al cliente,Muy importante,El gracioso es lo mejor,Los pagos,Buenos indtructores,,
31/08/2026 22:50:31,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,Casi nunca,Casi nunca,Correo electrónico,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Nunca,Rutina asignada,Falta de disponibilidad,Inventario y ventas,Muy importante,"Normal, ni muy satisfactoria pero tampoco un desastre ",Avisos por diversión medios,Un sistema de puntos y recompensas para fomentar algunas actividades ,,
31/08/2026 23:05:07,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Más de 1 año,Consulta verbal en recepción,A veces,A veces,Notificación del sistema,Ni fácil ni difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Sistema digital,Cada quince días,Registro de asistencia,Precio poco claro o diferente,Inventario y ventas,Moderadamente importante,,Nada,,,
31/08/2026 23:05:27,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Tarjeta o credencial,A veces,Casi siempre,WhatsApp,Difícil,Poco clara,Satisfecho(a),Tarjeta o credencial,Cada quince días,Estado de la membresía,Falta de disponibilidad,Inventario y ventas,Muy importante,"La experiencia ha sido buena en general. El ambiente es agradable y los equipos son variados, aunque a veces hay mucha gente y cuesta encontrar algunas máquinas disponibles.","Que el registro de asistencia y los pagos se puedan hacer de forma más rápida desde una aplicación, sin tener que hacer filas.","Me gustaría que tuviera un calendario para reservar máquinas o clases, además de poder ver rutinas y llevar un registro de los entrenamientos.",,
31/08/2026 23:08:59,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,Consulta verbal en recepción,Nunca,Nunca,WhatsApp,Muy fácil,Muy clara,Muy satisfecho(a),Tarjeta o credencial,Una vez al mes,Compras de productos,No he tenido dificultades,Rutinas,Muy importante,,Los pagos,,,
31/08/2026 23:17:14,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Tarjeta o credencial,A veces,A veces,WhatsApp,Ni fácil ni difícil,Clara,Satisfecho(a),Aviso verbal,Una vez al mes,Pagos realizados,Precio poco claro o diferente,Comunicación y avisos,Importante,Me gustaría que se notifique sobre convenios o colaboraciones ,Pagos más exacto ,Escaneo de QR para asistencia ,,
