Codigo,Categoria,Definicion,Incluir_cuando,Excluir_cuando,Ejemplo_ID,Ejemplo_fragmento,Notas
USAB_APRENDIZAJE,Usabilidad y navegacion,"La curva de aprendizaje se estima baja, con capacitación breve.","El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-02-F008,...para personas que saben utilizar una computadora... no sería complicado... para otras... no mucho más de un día...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INV_ESCALABILIDAD,Inventario y ventas,El dueño consulta la capacidad de crecimiento del inventario.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-03-F001,¿Cuántos productos puedo agregar?,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
SEG_ROLES,Roles y acceso,Se espera una interfaz diferenciada para cliente.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-03-F002,"...cuando mi cliente acceda, me imagino que la interfaz va a ser diferente.",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
VAL_COBERTURA_GENERAL,Validacion general,Valoración general positiva del prototipo.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-03-F005,De forma general es interesante.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
CLI_ESTADO_PAGO,"Clientes, membresias y pagos",El seguimiento de mensualidades reduce esfuerzo administrativo.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-03-F007,...le ahorra tiempo estar revisando lo que es la mensualidad y el programa mismo va a revisar cuánto... está pendiente...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
PERS_ADAPTABILIDAD,Adaptabilidad y visualizacion,Se requiere verificar legibilidad y densidad de información en móvil.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-03-F009,"...para el trabajo diario... está completo, solo habría que ver... cómo se va a visualizar en el celular si no se satura...",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
CLI_MODALIDADES_PAGO,"Clientes, membresias y pagos",Debe contemplarse cliente recurrente/casual sin membresía tradicional.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-01-F001,...si yo no quiero tener membresía... pago diario... porque en algún lado debería estar ahí...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
RUT_CONSULTA_HISTORIAL,Rutinas y personalizacion,Se requiere consulta de rutina propia con detalle e historial.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-01-F003,...debería visualizar... la lista... observaciones... fecha y hora... un registro previo... ¿dónde yo veo... mi propia rutina?... tener un registro...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
COM_CANALES,Comunicacion,La rutina debería ser accesible por canales de comunicación al cliente.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-01-F004,...el informe... de la rutina... se va a enviar por WhatsApp o correo... lista... para tal fecha y tal día... series... tiempo estimado.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
SEG_AUDITORIA,Seguridad y trazabilidad operativa,Se valora trazabilidad de acciones por usuario.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-01-F009,Auditoría... es lo que hizo el usuario... administrador... recepcionista... se eliminó un cliente...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
CLI_IDENTIFICACION,"Clientes, membresias y pagos",Se propone identificador operativo más corto para búsquedas frecuentes.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-01-F012,...número de cédula... es mucho... un código de cuatro dígitos... automáticamente aparecía toda esa información... no es recomendable el número de cédula.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INV_STOCK,Inventario y ventas,Venta debe descontar stock automáticamente.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F001,"...cuando yo vendo algo, ¿qué pasa con el inventario?... tiene que disminuir... automáticamente... por eso el inventario no se debe editar.",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
RUT_OBJETIVO_CONTEXTO,Rutinas y personalizacion,La rutina debe responder a objetivos/necesidades individuales.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F006,...cada cliente... rutina personalizada... en función de las necesidades... cada quien sigue su propia rutina en función de las recomendaciones del entrenador.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
RUT_ORIGEN_VALIDACION,Rutinas y personalizacion,La rutina individual debe ser visible y validada por entrenador.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F008,...cada cliente tenga su rutina y que la pueda verificar... el entrenador pueda revisar... la valida.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INFO_REPORTES,Reportes y dashboard,Los reportes deben poder ampliarse según necesidades administrativas.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F010,"La gestión del reporte es buena. Se puede ampliar... venta, uso... en función... de las necesidades del administrador.",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
VAL_ING_REQUISITOS,Validacion e ingenieria de requisitos,Se destaca importancia del análisis de necesidades.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F011,Los requerimientos son la parte más importante... ahí establecen qué realmente necesita el cliente...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INV_COMPRAS_PROVEEDORES,Inventario y ventas,Se propone gestión de compras/adquisiciones integrada a stock y costos.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F012,...manejo de adquisiciones... ingreso de facturas de compra... incremento automático del stock... saber en cuánto compro y vendo... escalabilidad...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_ORIENTACION_NAVEGACION,Usabilidad y navegacion,Se recomienda breadcrumb para orientación.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F013,...la navegación está muy bien pensada. Quizás podría añadir... un camino de hormigas...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_RETROALIMENTACION,Usabilidad y navegacion,Retroalimentación visual y notas de uso son suficientes.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F014,...colores y... palabras está muy bien... intuitivo... tienen notas de uso... estadísticas... bastante usable.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
ESC_MANTENIBILIDAD,Escalabilidad y mantenibilidad,Diseño debe anticipar extensiones futuras sin rehacer la base.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F015,...tenemos que proyectarnos... si... usuarios se integren... campos... gestión de usuarios... proceso contable... facturación... dejar espacios necesarios...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
VAL_PRUEBAS_USABILIDAD,Validacion general,Antes de producción se requieren pruebas de usabilidad.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-02-F016,...ajustes pequeños... para pasar a producción... tienen que hacer las pruebas con los usuarios. Las pruebas de usabilidad.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
DATOS_VALIDACION,Validacion de datos,Teléfono y completitud deben validarse antes de enviar.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F001,...el teléfono... dato obligatorio... validar que el botón no se active mientras no se llene... formulario.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
SEG_SEGURIDAD_ACCESO,Seguridad y trazabilidad operativa,Las preguntas de seguridad deben seleccionarse de lista controlada.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F003,...pregunta de seguridad... lista predefinida... no recomendable... manual...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
LEG_PRIVACIDAD,Legal y privacidad,Términos y privacidad deben ser accesibles antes de aceptar.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F004,...aceptar términos... debe estar linkeado... que se puedan leer términos y condiciones... políticas de privacidad.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_CONTRASTE_VISUAL,Adaptabilidad y visualizacion,Las tarjetas requieren mayor contraste.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F006,...bordes... más resalte... sombra... contraste... porque... todo muy plano.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INV_CONFIGURABLE,Inventario y ventas,IVA debe ser configurable y no hardcodeado.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F009,...IVA... no tiene que ir directamente en código... sección que pueda modificar el IVA...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
SEG_CONTINUIDAD,Seguridad y continuidad,Falta una función de respaldo/recuperación accesible a rol autorizado.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-TEC-03-F016,...está faltando... respaldos de base de datos... hacer un backup directamente desde aquí...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
