Fragmento,Codigo,Tipo_codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador,Transcripcion,Participante,Rol,Lineas,Codigo_abierto_original,Subcategoria_original,Naturaleza_fragmento,Incluir_en_saturacion,Estado_revision,Version_fuente,Observacion_metodologica
La venta debe reducir existencias; el stock registrado puede diferir del fisico.,INTEGRIDAD_TRANSACCIONAL,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-VEN-01;RF-INV-03,EV-ENTR02-05,Equipo FabroGym,ENTR-02,P02,Recepcion,L66-L70,venta_descuenta_stock,Inventario y ventas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"El cierre resume pagos, ventas, asistencia y novedades; el relevo verbal pierde informacion.",CIERRE_CAJA_TURNO,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-CAJ-01;RF-NOV-01,EV-ENTR02-06,Equipo FabroGym,ENTR-02,P02,Recepcion,L73-L77,cierre_reconciliacion,Caja y novedades,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Funciones financieras y cambios criticos deben restringirse por rol.,CONTROL_ACCESO_ROLES,CODIGO_TEMATICO,"Seguridad, privacidad y límites éticos",RF-AUT-01;RF-AUT-02;RF-AUT-03,EV-ENTR02-07,Equipo FabroGym,ENTR-02,P02,Recepcion,L86-L88,minimo_privilegio,Seguridad,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Las novedades requieren responsable, estado y consulta rapida.",GESTION_NOVEDADES,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-NOV-01;RF-CLI-02,EV-ENTR02-08,Equipo FabroGym,ENTR-02,P02,Recepcion,L95-L115,novedad_asignable,Comunicacion interna,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Recepcion combina membresias, pagos, asistencia, ventas y cierre.",CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,RF-MEM-02;RF-PAG-01;RF-ASI-01;RF-VEN-01;RF-CAJ-01,EV-ENTR03-01,Equipo FabroGym,ENTR-03,P03,Recepcion,L18-L25,multitarea_recepcion,Operacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Ficha fisica y Excel generan omisiones y clientes duplicados.,GESTION_CLIENTES_MEMBRESIAS,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-CLI-01;RF-CLI-03,EV-ENTR03-02,Equipo FabroGym,ENTR-03,P03,Recepcion,L35-L41,cliente_duplicado,Clientes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
La verificacion dispersa demora el ingreso.,CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-03;RF-ASI-01,EV-ENTR03-03,Equipo FabroGym,ENTR-03,P03,Recepcion,L44-L48,verificacion_membresia,Membresias y asistencia,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Compara cuaderno, Excel y comprobante para confirmar renovacion.",GESTION_PAGOS,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-PAG-01;RF-PAG-02,EV-ENTR03-04,Equipo FabroGym,ENTR-03,P03,Recepcion,L51-L58,conciliacion_pago,Pagos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Ventas y efectivo deben conciliarse por tipo de ingreso.,CIERRE_CAJA_TURNO,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-VEN-01;RF-CAJ-01,EV-ENTR03-05,Equipo FabroGym,ENTR-03,P03,Recepcion,L61-L70,cierre_por_medio,Caja,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Datos personales, pagos y cambios criticos requieren restriccion.",CONTROL_ACCESO_ROLES,CODIGO_TEMATICO,"Seguridad, privacidad y límites éticos",RF-AUT-02;RF-AUT-03,EV-ENTR03-06,Equipo FabroGym,ENTR-03,P03,Recepcion,L75-L77,acceso_restringido,Seguridad,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Mensajes mezclados y novedades verbales no dejan seguimiento.,GESTION_NOVEDADES,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-NOV-01,EV-ENTR03-07,Equipo FabroGym,ENTR-03,P03,Recepcion,L82-L90,novedad_sin_traza,Comunicacion interna,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Explica planes y promociones, pero los nombres inconsistentes causan duplicidad.",GESTION_CLIENTES_MEMBRESIAS,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-01;RF-CLI-03,EV-ENTR04-01,Equipo FabroGym,ENTR-04,P04,Recepcion,L28-L40,catalogo_planes,Clientes y membresias,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
La asistencia debe resolverse en una accion y validar vigencia.,CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-ASI-01;RF-MEM-03,EV-ENTR04-02,Equipo FabroGym,ENTR-04,P04,Recepcion,L43-L52,asistencia_un_paso,Asistencia,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Renovacion y pago deben actualizar la vigencia de forma consistente.,INTEGRIDAD_TRANSACCIONAL,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-MEM-02;RF-PAG-01,EV-ENTR04-03,Equipo FabroGym,ENTR-04,P04,Recepcion,L56-L65,renovacion_atomica,Membresias y pagos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
La venta y el stock deben registrarse juntos.,INTEGRIDAD_TRANSACCIONAL,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-VEN-01;RF-INV-02,EV-ENTR04-04,Equipo FabroGym,ENTR-04,P04,Recepcion,L68-L78,consistencia_venta_stock,Inventario y ventas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"El cierre necesita efectivo, transferencias, comprobantes y diferencias.",CIERRE_CAJA_TURNO,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-CAJ-01,EV-ENTR04-05,Equipo FabroGym,ENTR-04,P04,Recepcion,L81-L91,diferencia_caja,Caja,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Un panel de pendientes debe conservar responsable y estado.,GESTION_NOVEDADES,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-NOV-01,EV-ENTR04-06,Equipo FabroGym,ENTR-04,P04,Recepcion,L94-L111,panel_pendientes,Comunicacion interna,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Combina software y WhatsApp para operacion y comunicacion.,REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-REP-01;RF-NOV-01,EV-ENTR05-01,Equipo FabroGym,ENTR-05,P05,Propietario/administracion,L27-L41,canales_dispersos,Centralizacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Necesita conocer clientes activos, vencimientos y recuperacion de inactivos.",GESTION_CLIENTES_MEMBRESIAS,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-CLI-03;RF-MEM-04,EV-ENTR05-02,Equipo FabroGym,ENTR-05,P05,Propietario/administracion,L46-L63,reactivacion_cliente,Clientes y membresias,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"La continuidad del servicio depende de limpieza, equipos y atencion.",CONTINUIDAD_OPERATIVA,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-REP-01,EV-ENTR05-03,Equipo FabroGym,ENTR-05,P05,Propietario/administracion,L68-L84,continuidad_operativa,Operacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Rutinas y productos requieren control y seguimiento.,CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,RF-RUT-01;RF-INV-03,EV-ENTR05-04,Equipo FabroGym,ENTR-05,P05,Propietario/administracion,L90-L109,seguimiento_servicio,Rutinas e inventario,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Los reportes apoyan decisiones administrativas.,REPORTES_DECISION,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-REP-01,EV-ENTR05-05,Equipo FabroGym,ENTR-05,P05,Propietario/administracion,L118-L131,decision_con_reporte,Reportes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Usa software, Excel, cuaderno y WhatsApp en procesos solapados.",REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-REP-01,EV-ENTR06-01,Equipo FabroGym,ENTR-06,P06,Propietario/administracion,L25-L42,ecosistema_fragmentado,Centralizacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Requiere control de clientes, membresias y pagos.",CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,RF-CLI-02;RF-MEM-02;RF-PAG-01,EV-ENTR06-02,Equipo FabroGym,ENTR-06,P06,Propietario/administracion,L47-L65,control_administrativo,Clientes y membresias,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"El acceso actual usa huella, pero el proyecto academico no tratara biometria.",EXCLUSION_DATOS_SENSIBLES,RESTRICCION_ETICA_DISENO,"Seguridad, privacidad y límites éticos",RD-PRI-01,EV-ENTR06-03,Equipo FabroGym,ENTR-06,P06,Propietario/administracion,L70-L84,biometria_fuera_alcance,Etica y alcance,Paráfrasis analítica,No,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,"Restricción ética y de diseño; se conserva para trazabilidad, pero no se contabiliza como código temático nuevo."
Inventario y reportes deben apoyar el control del negocio.,REPORTES_DECISION,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-INV-03;RF-REP-01,EV-ENTR06-04,Equipo FabroGym,ENTR-06,P06,Propietario/administracion,L89-L111,reporte_inventario,Inventario y reportes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"La IA aparece como sugerencia del entrevistador, no como necesidad confirmada.",IA_FUERA_ALCANCE,MEMO_DE_ALCANCE,"Seguridad, privacidad y límites éticos",RD-IA-01,EV-ENTR06-05,Equipo FabroGym,ENTR-06,P06,Propietario/administracion,L142-L146,ia_no_elicitada,Etica y alcance,Paráfrasis analítica,No,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,Memo de alcance derivado de una sugerencia no confirmada; se excluye de la curva temática.
"El relevo combina registro manual, Excel y conteos por turno.",REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-CAJ-01;RF-ASI-02,EV-ENTR07-01,Equipo FabroGym,ENTR-07,P07,Recepcion,L23-L34,doble_fuente_turno,Operacion de turnos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Verifica vigencia, alerta dias antes y separa medios de pago.",CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-04;RF-PAG-01,EV-ENTR07-02,Equipo FabroGym,ENTR-07,P07,Recepcion,L39-L53,aviso_previo,Membresias y pagos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Registra entradas y ventas; caja debe cuadrar con mercaderia.,INTEGRIDAD_TRANSACCIONAL,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-INV-02;RF-VEN-01;RF-CAJ-01,EV-ENTR07-03,Equipo FabroGym,ENTR-07,P07,Recepcion,L58-L75,conciliacion_stock_caja,Inventario y caja,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Los resumentes diarios y comprobantes se envian por WhatsApp.,REPORTES_DECISION,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-REP-01,EV-ENTR07-04,Equipo FabroGym,ENTR-07,P07,Recepcion,L95-L111,resumen_diario,Reportes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Se recaban datos de salud en la practica actual; quedan prohibidos en el prototipo.,EXCLUSION_DATOS_SENSIBLES,RESTRICCION_ETICA_DISENO,"Seguridad, privacidad y límites éticos",RD-PRI-01,EV-ENTR07-05,Equipo FabroGym,ENTR-07,P07,Recepcion,L115-L121,salud_fuera_alcance,Etica y alcance,Paráfrasis analítica,No,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,"Restricción ética y de diseño; se conserva para trazabilidad, pero no se contabiliza como código temático nuevo."
La ausencia del instructor y mantenimiento de maquinas afectan la atencion.,GESTION_INSTRUCTORES,CODIGO_TEMATICO,Rutinas e instructores,RF-INS-01,EV-ENTR07-06,Equipo FabroGym,ENTR-07,P07,Recepcion,L128-L145,disponibilidad_instructor,Instructores,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Se requiere bloquear o advertir acceso vencido y resolver pagos dispersos.,CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-ASI-01;RF-PAG-02,EV-ENTR07-07,Equipo FabroGym,ENTR-07,P07,Recepcion,L149-L164,control_acceso_vigencia,Asistencia,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Administra altas, pagos y asistencia; la practica actual solicita datos excesivos.",PRIVACIDAD_MINIMIZACION,CODIGO_TEMATICO,"Seguridad, privacidad y límites éticos",RF-CLI-01;RNF-SEG-02,EV-ENTR08-01,Equipo FabroGym,ENTR-08,P08,Recepcion,L23-L39,minimizacion_datos,Privacidad,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
El ingreso depende del estado de membresia y excepcion autorizada.,CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-03;RF-ASI-01,EV-ENTR08-02,Equipo FabroGym,ENTR-08,P08,Recepcion,L46-L65,excepcion_ingreso,Asistencia,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Pagos y ventas generan comprobantes y registros separados.,GESTION_PAGOS,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-PAG-01;RF-VEN-01,EV-ENTR08-03,Equipo FabroGym,ENTR-08,P08,Recepcion,L68-L79,comprobante_pago,Pagos y ventas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Cierre diario e historial personal solo deben ser accesibles a autorizados.,CONTROL_ACCESO_ROLES,CODIGO_TEMATICO,"Seguridad, privacidad y límites éticos",RF-AUT-02;RF-CAJ-01,EV-ENTR08-04,Equipo FabroGym,ENTR-08,P08,Recepcion,L86-L101,confidencialidad_operativa,Seguridad,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Prioriza clientes/membresias, pagos, asistencia y reportes automaticos.",CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,RF-CLI-02;RF-MEM-03;RF-PAG-01;RF-ASI-02;RF-REP-01,EV-ENTR08-05,Equipo FabroGym,ENTR-08,P08,Recepcion,L108-L130,prioridades_recepcion,Priorizacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Rutinas e historial se dispersan entre libretas, Excel y notas.",REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-RUT-01;RF-RUT-02,EV-ENTR09-01,Equipo FabroGym,ENTR-09,P09,Instructor,L20-L40,rutina_fragmentada,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"La rutina necesita objetivo, experiencia y parametros operativos; salud y biometria se excluyen.",GESTION_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-RUT-01;RD-PRI-01,EV-ENTR09-02,Equipo FabroGym,ENTR-09,P09,Instructor,L52-L64,parametros_rutina,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Recepcion comunica asignaciones y la rutina debe poder consultarse despues.,GESTION_INSTRUCTORES,CODIGO_TEMATICO,Rutinas e instructores,RF-INS-01;RF-RUT-01,EV-ENTR09-03,Equipo FabroGym,ENTR-09,P09,Instructor,L71-L82,asignacion_instructor,Instructores y rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Ajustes requieren conservar versiones, series, repeticiones y observaciones operativas.",SEGUIMIENTO_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-RUT-02;RF-RUT-03,EV-ENTR09-04,Equipo FabroGym,ENTR-09,P09,Instructor,L87-L102,versionado_rutina,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Informacion incompleta obliga a repetir preguntas; se necesita resumen centralizado.,REPORTES_DECISION,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-RUT-03;RF-REP-01,EV-ENTR09-05,Equipo FabroGym,ENTR-09,P09,Instructor,L111-L142,resumen_instructor,Rutinas y reportes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Constancia y cumplimiento apoyan el ajuste de rutina.,SEGUIMIENTO_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-ASI-02;RF-RUT-03,EV-ENTR09-06,Equipo FabroGym,ENTR-09,P09,Instructor,L149-L153,seguimiento_operativo,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Planifica sesiones y adapta el trabajo a capacidades diversas.,GESTION_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-RUT-02,EV-ENTR10-01,Equipo FabroGym,ENTR-10,P10,Instructor,L28-L45,adaptacion_rutina,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
La organizacion grupal depende de horarios y capacidad.,GESTION_INSTRUCTORES,CODIGO_TEMATICO,Rutinas e instructores,RF-INS-01,EV-ENTR10-02,Equipo FabroGym,ENTR-10,P10,Instructor,L47-L58,capacidad_sesion,Instructores,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Los ajustes deben registrar indicaciones y evitar cargas fuera de la prescripcion.,SEGUIMIENTO_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-RUT-02;RF-RUT-03,EV-ENTR10-03,Equipo FabroGym,ENTR-10,P10,Instructor,L70-L87,instruccion_rutina,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
El seguimiento operativo ayuda a decidir si mantener o modificar el plan.,SEGUIMIENTO_RUTINAS,CODIGO_TEMATICO,Rutinas e instructores,RF-RUT-03,EV-ENTR10-04,Equipo FabroGym,ENTR-10,P10,Instructor,L94-L124,decision_ajuste,Rutinas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
